ID_Venta,Fecha_Venta,Codigo_Producto,Cantidad,Precio_Unitario,CUIT_Cliente
51,16/11/2018,MOUSE_GEN,4,3758.87,21-28243308-5
52,23/06/2018,MONITOR_LG,5,11895.57,20-33853109-5
53,06/06/2018,DVD_REC,6,7491.01,20-15343109-5
54,07/12/2017,LCD_TV,4,11615.58,20-33263109-4
55,16/03/2018,MOUSE_GEN,2,10299.58,20-33263109-4
56,11/01/2018,DVD_REC,10,5025.07,21-28243308-5
57,28/06/2018,DVD_REC,5,8366.27,20-33263109-4
58,22/10/2018,MONITOR_LG,8,5587.11,20-15343109-5
59,24/04/2018,HD_WESTERN,3,3621.85,20-33853109-5
60,17/10/2018,DVD_REC,6,4938.18,21-28243308-5
61,05/08/2018,MONITOR_LG,7,8141.16,20-33853109-5
62,12/06/2018,MONITOR_LG,6,213.87,21-28243308-5
63,12/01/2018,LCD_TV,5,2780.95,20-33263109-4
64,08/01/2018,MOUSE_GEN,8,737.37,20-15343109-5
65,21/08/2018,KEYBRD_485,1,1613.72,20-15343109-5
66,17/04/2018,MOUSE_GEN,2,8398.37,20-33853109-5
67,06/02/2018,HD_WESTERN,5,1786.46,20-15343109-5
68,28/05/2018,LCD_TV,5,3634.71,21-28243308-5
69,27/11/2017,MOUSE_GEN,5,11330.3,20-33263109-4
70,19/01/2018,HD_WESTERN,3,7210.52,20-33263109-4
71,02/09/2018,HD_WESTERN,6,3712.49,20-33263109-4
72,10/11/2018,LCD_TV,4,2850.78,21-28243308-5
73,13/07/2018,LCD_TV,8,8599.31,20-15343109-5
74,04/06/2018,HD_WESTERN,4,9835.45,21-28243308-5
75,18/06/2018,MONITOR_LG,2,1983.28,21-28243308-5
76,02/02/2018,KEYBRD_485,6,813.67,20-33263109-4
77,04/06/2018,MOUSE_GEN,1,2255.5,20-15343109-5
78,29/06/2018,MOUSE_GEN,4,11446.26,20-33263109-4
79,03/05/2018,KEYBRD_485,9,8674.68,20-33263109-4
80,10/05/2018,MONITOR_LG,9,9810.71,21-28243308-5
81,31/03/2018,KEYBRD_485,1,1636.76,20-15343109-5
82,12/12/2017,MONITOR_LG,9,10026.4,20-15343109-5
83,11/08/2018,DVD_REC,5,1969.68,21-28243308-5
84,20/11/2017,KEYBRD_485,1,10732.28,20-33853109-5
85,06/11/2018,HD_WESTERN,2,10091.04,20-33263109-4
86,10/03/2018,KEYBRD_485,3,9693.08,21-28243308-5
87,15/07/2018,HD_WESTERN,6,8426.11,20-33853109-5
88,14/10/2018,HD_WESTERN,10,10205.31,20-15343109-5
89,23/02/2018,DVD_REC,2,11658.39,20-15343109-5
90,20/03/2018,LCD_TV,9,866.21,20-15343109-5
91,31/03/2018,DVD_REC,7,8153.42,21-28243308-5
92,11/04/2018,MOUSE_GEN,10,8825.72,21-28243308-5
93,04/09/2018,HD_WESTERN,4,1111.92,21-28243308-5
94,16/09/2018,MONITOR_LG,6,9022.34,21-28243308-5
95,07/11/2018,MOUSE_GEN,6,546.21,21-28243308-5
96,12/08/2018,MOUSE_GEN,6,8352.11,20-33263109-4
97,05/10/2018,MOUSE_GEN,7,5092.29,21-28243308-5
98,02/03/2018,MONITOR_LG,1,4896.66,20-33853109-5
99,02/01/2018,HD_WESTERN,3,1356.56,20-33853109-5
100,24/04/2018,DVD_REC,3,2052.06,20-33263109-4
101,15/03/2018,HD_WESTERN,9,11002.88,20-15343109-5
102,24/03/2018,MONITOR_LG,4,4908.81,20-33263109-4
103,26/10/2018,HD_WESTERN,2,10172.47,20-33263109-4
104,04/04/2018,LCD_TV,4,7513.64,21-28243308-5
105,10/01/2018,MONITOR_LG,6,1870.46,20-33263109-4
106,24/06/2018,MONITOR_LG,9,3295.58,21-28243308-5
107,03/05/2018,MONITOR_LG,4,3676.22,20-15343109-5
108,31/07/2018,HD_WESTERN,7,5761.01,20-15343109-5
109,05/05/2018,HD_WESTERN,3,1475.66,20-33853109-5
110,11/05/2018,HD_WESTERN,4,9379.86,21-28243308-5
111,11/05/2018,LCD_TV,10,11058.94,20-33853109-5
112,13/12/2017,MONITOR_LG,7,8208.7,20-33853109-5
113,09/06/2018,KEYBRD_485,6,387.99,20-33853109-5
114,26/10/2018,MONITOR_LG,8,2832.66,20-33263109-4
115,01/03/2018,MONITOR_LG,5,8385.78,20-33263109-4
116,12/11/2018,KEYBRD_485,2,7635.23,20-33853109-5
117,28/01/2018,LCD_TV,4,11515.88,20-33853109-5
118,28/09/2018,MOUSE_GEN,3,6885.53,20-33853109-5
119,01/10/2018,KEYBRD_485,3,3744.83,20-15343109-5
120,12/12/2017,HD_WESTERN,2,10357.87,20-33853109-5
121,28/09/2018,DVD_REC,3,9841.28,20-15343109-5
122,28/01/2018,HD_WESTERN,3,9420.77,21-28243308-5
123,15/09/2018,MONITOR_LG,3,5869.5,20-33853109-5
124,18/09/2018,KEYBRD_485,7,2488.48,21-28243308-5
125,13/12/2017,KEYBRD_485,4,6193.8,20-15343109-5
126,18/04/2018,HD_WESTERN,3,5849.81,20-15343109-5
127,09/05/2018,HD_WESTERN,2,2809.26,20-33263109-4
128,27/10/2018,MONITOR_LG,8,9751.68,20-33263109-4
129,09/02/2018,DVD_REC,9,1228.01,20-15343109-5
130,01/05/2018,HD_WESTERN,1,1395.18,20-33263109-4
131,10/08/2018,KEYBRD_485,9,2129.16,20-15343109-5
132,25/12/2017,KEYBRD_485,6,4924.03,20-15343109-5
133,27/04/2018,HD_WESTERN,2,6121.92,20-33853109-5
134,01/04/2018,LCD_TV,9,168.79,21-28243308-5
135,16/03/2018,LCD_TV,9,3015.55,20-15343109-5
136,08/10/2018,DVD_REC,7,4725.56,20-33263109-4
137,06/11/2018,LCD_TV,6,9184.07,20-15343109-5
138,08/12/2017,DVD_REC,8,5880.49,20-33263109-4
139,22/02/2018,MOUSE_GEN,1,2937.0,20-33263109-4
140,27/11/2017,MONITOR_LG,6,3502.78,20-15343109-5
141,25/01/2018,MONITOR_LG,2,2624.24,20-33263109-4
142,02/12/2017,KEYBRD_485,7,11034.58,20-33263109-4
143,27/01/2018,LCD_TV,3,6474.41,20-15343109-5
144,01/06/2018,MOUSE_GEN,6,9946.64,21-28243308-5
145,05/12/2017,LCD_TV,2,11302.19,20-33853109-5
146,22/06/2018,DVD_REC,3,3898.46,20-33263109-4
147,20/08/2018,HD_WESTERN,2,1278.81,20-33263109-4
148,30/03/2018,MOUSE_GEN,5,11463.06,20-33263109-4
149,03/06/2018,MOUSE_GEN,5,4213.09,21-28243308-5
150,30/11/2017,MOUSE_GEN,7,4206.66,21-28243308-5
151,24/03/2018,LCD_TV,4,821.21,21-28243308-5
152,31/01/2018,LCD_TV,6,1657.82,20-33853109-5
153,27/12/2017,HD_WESTERN,5,4525.67,20-15343109-5
154,27/10/2018,LCD_TV,10,7452.97,21-28243308-5
155,17/07/2018,HD_WESTERN,8,11764.82,20-33853109-5
156,31/07/2018,DVD_REC,3,4950.29,21-28243308-5
157,29/10/2018,DVD_REC,6,3466.74,20-15343109-5
158,18/09/2018,DVD_REC,8,4151.87,20-15343109-5
159,20/09/2018,HD_WESTERN,3,7887.61,20-15343109-5
160,27/06/2018,DVD_REC,4,661.97,20-15343109-5
161,12/06/2018,KEYBRD_485,2,8666.1,21-28243308-5
162,27/02/2018,LCD_TV,5,1441.12,20-15343109-5
163,02/05/2018,MOUSE_GEN,8,7170.5,20-33853109-5
164,06/09/2018,MOUSE_GEN,5,10787.67,20-15343109-5
165,09/09/2018,MONITOR_LG,8,8206.49,21-28243308-5
166,11/04/2018,KEYBRD_485,1,2071.89,21-28243308-5
167,27/12/2017,MONITOR_LG,2,2919.27,20-15343109-5
168,24/07/2018,DVD_REC,6,6034.52,20-15343109-5
169,07/05/2018,DVD_REC,9,5811.32,20-33263109-4
170,28/08/2018,LCD_TV,6,11176.54,21-28243308-5
171,09/04/2018,MONITOR_LG,1,5978.05,21-28243308-5
172,06/11/2018,HD_WESTERN,5,10922.34,20-33263109-4
173,18/07/2018,MONITOR_LG,4,2119.74,20-33853109-5
174,20/10/2018,MONITOR_LG,8,2017.76,20-33263109-4
175,01/12/2017,LCD_TV,8,1060.38,21-28243308-5
176,25/06/2018,MOUSE_GEN,4,10963.81,21-28243308-5
177,17/09/2018,KEYBRD_485,9,3238.39,21-28243308-5
178,27/09/2018,LCD_TV,5,380.36,20-33263109-4
179,20/11/2017,LCD_TV,5,8383.06,20-33853109-5
180,20/12/2017,LCD_TV,6,4152.91,20-33853109-5
181,23/07/2018,MONITOR_LG,10,4686.43,21-28243308-5
182,27/01/2018,HD_WESTERN,4,1314.42,20-33263109-4
183,13/04/2018,DVD_REC,7,6064.37,20-33853109-5
184,03/09/2018,DVD_REC,10,5579.77,20-15343109-5
185,04/11/2018,HD_WESTERN,4,6671.74,20-15343109-5
186,28/04/2018,MONITOR_LG,7,9031.09,20-33263109-4
187,19/11/2017,HD_WESTERN,10,3881.43,20-15343109-5
188,05/01/2018,DVD_REC,4,10837.83,21-28243308-5
189,03/07/2018,LCD_TV,5,1383.99,20-33853109-5
190,07/12/2017,KEYBRD_485,10,1600.67,20-33263109-4
191,08/01/2018,DVD_REC,9,511.67,20-33263109-4
192,02/10/2018,MOUSE_GEN,1,8695.64,20-33853109-5
193,27/04/2018,DVD_REC,2,9285.66,21-28243308-5
194,19/12/2017,LCD_TV,3,6933.13,20-33263109-4
195,04/05/2018,HD_WESTERN,10,4227.96,20-33263109-4
196,03/06/2018,MOUSE_GEN,7,4127.99,20-33263109-4
197,21/07/2018,MONITOR_LG,1,8046.66,21-28243308-5
198,29/12/2017,DVD_REC,2,10874.49,20-33263109-4
199,15/12/2017,DVD_REC,7,7890.7,21-28243308-5
200,12/07/2018,KEYBRD_485,2,5824.96,20-15343109-5
201,15/11/2018,MOUSE_GEN,3,4789.07,21-28243308-5
202,25/03/2018,DVD_REC,2,3814.12,21-28243308-5
203,21/08/2018,DVD_REC,2,6054.27,20-33263109-4
204,23/06/2018,MOUSE_GEN,2,5135.93,20-33263109-4
205,03/11/2018,HD_WESTERN,5,5278.28,20-33263109-4
206,21/03/2018,DVD_REC,6,9661.98,21-28243308-5
207,13/07/2018,LCD_TV,8,7507.45,21-28243308-5
208,12/08/2018,MOUSE_GEN,10,4376.48,20-33853109-5
209,15/01/2018,KEYBRD_485,1,8619.86,20-33853109-5
210,25/01/2018,HD_WESTERN,8,2494.01,20-15343109-5
211,12/04/2018,DVD_REC,3,9677.24,20-33853109-5
212,16/07/2018,LCD_TV,9,1873.09,21-28243308-5
213,15/12/2017,LCD_TV,9,11456.58,20-33853109-5
214,20/06/2018,DVD_REC,1,703.58,20-15343109-5
215,06/12/2017,MOUSE_GEN,9,9051.41,20-33263109-4
216,10/10/2018,LCD_TV,10,10900.9,20-33853109-5
217,11/12/2017,MOUSE_GEN,5,9710.6,20-15343109-5
218,31/01/2018,MONITOR_LG,5,6253.29,20-15343109-5
219,22/05/2018,HD_WESTERN,10,11383.43,21-28243308-5
220,22/04/2018,MOUSE_GEN,7,8954.95,20-33263109-4
221,16/10/2018,KEYBRD_485,4,8481.54,20-15343109-5
222,15/02/2018,KEYBRD_485,1,10267.89,20-33853109-5
223,02/11/2018,DVD_REC,9,3037.55,20-33263109-4
224,09/03/2018,HD_WESTERN,10,11251.25,20-33853109-5
225,25/01/2018,LCD_TV,9,1306.78,20-33263109-4
226,17/09/2018,DVD_REC,3,815.91,20-15343109-5
227,20/11/2017,MOUSE_GEN,2,11239.57,21-28243308-5
228,21/05/2018,DVD_REC,5,3715.52,20-15343109-5
229,15/01/2018,KEYBRD_485,6,612.29,21-28243308-5
230,03/12/2017,MOUSE_GEN,3,8874.14,21-28243308-5
231,13/10/2018,DVD_REC,5,5080.35,20-33853109-5
232,08/07/2018,DVD_REC,2,6811.31,21-28243308-5
233,29/01/2018,MOUSE_GEN,4,4946.13,21-28243308-5
234,08/07/2018,KEYBRD_485,6,667.36,21-28243308-5
235,08/05/2018,HD_WESTERN,8,7700.73,21-28243308-5
236,25/07/2018,HD_WESTERN,5,472.65,20-15343109-5
237,27/09/2018,HD_WESTERN,7,9205.81,21-28243308-5
238,16/12/2017,MOUSE_GEN,10,4558.16,20-33853109-5
239,31/03/2018,HD_WESTERN,2,4389.51,20-15343109-5
240,04/06/2018,MOUSE_GEN,6,6459.57,20-33853109-5
241,02/04/2018,MONITOR_LG,7,9116.09,20-15343109-5
242,01/12/2017,LCD_TV,8,3295.93,20-33853109-5
243,28/05/2018,MOUSE_GEN,3,8332.76,20-33853109-5
244,18/07/2018,DVD_REC,3,3701.2,21-28243308-5
245,11/11/2018,DVD_REC,3,715.99,20-33853109-5
246,11/09/2018,DVD_REC,5,6778.91,21-28243308-5
247,22/02/2018,DVD_REC,7,4913.56,21-28243308-5
248,31/10/2018,HD_WESTERN,10,7309.62,20-33853109-5
249,26/12/2017,HD_WESTERN,2,3842.53,21-28243308-5
250,03/05/2018,MONITOR_LG,7,911.19,20-33853109-5
